Sample Number,Sampled Point Number,Latitude + Longitude,Heading,Date,Image Name,Road Types,Web Link
28,7,"13.9627193,100.4013352",W,2012-04,0000000028_13.9627193_100.4013352_W.jpg,"trunk,residential,trunk,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSQ3Z3RjUtM0pCUnM
29,8,"13.875691,100.6093825",N,2012-02,0000000029_13.875691_100.6093825_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSZUp4a1U1cnFrT2M
30,8,"13.875691,100.6093825",E,2012-02,0000000030_13.875691_100.6093825_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSb2x6bERXZVZaOVE
31,8,"13.875691,100.6093825",S,2012-02,0000000031_13.875691_100.6093825_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSd3JWWGFjaWs0enc
32,8,"13.875691,100.6093825",W,2012-02,0000000032_13.875691_100.6093825_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSUUxjekxJaElGQ3M
33,9,"13.6541920998,100.6125828",N,2012-06,0000000033_13.6541920998_100.6125828_N.jpg,"secondary,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cScGlkcTlnemRQZ1E
34,9,"13.6541920998,100.6125828",E,2012-06,0000000034_13.6541920998_100.6125828_E.jpg,"secondary,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSc04wMVgxWV9pODg
35,9,"13.6541920998,100.6125828",S,2012-06,0000000035_13.6541920998_100.6125828_S.jpg,"secondary,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cST3NSdnctR1BwZkk
36,9,"13.6541920998,100.6125828",W,2012-06,0000000036_13.6541920998_100.6125828_W.jpg,"secondary,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSRko5UGZLczRBcUE
37,10,"13.8385472,100.582425299",N,2011-12,0000000037_13.8385472_100.582425299_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSY1VELVZ5dDIzV1E
38,10,"13.8385472,100.582425299",E,2011-12,0000000038_13.8385472_100.582425299_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSdWljUzF6WGZ5ZnM
39,10,"13.8385472,100.582425299",S,2011-12,0000000039_13.8385472_100.582425299_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSSHlDeFJVeGNhcVk
40,10,"13.8385472,100.582425299",W,2011-12,0000000040_13.8385472_100.582425299_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSRzZnT3ZNcHdGaGc
41,11,"13.8160124998,100.6504993",N,2012-01,0000000041_13.8160124998_100.6504993_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cScGF0TEZ1S2dlZjg
42,11,"13.8160124998,100.6504993",E,2012-01,0000000042_13.8160124998_100.6504993_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSZWVYQmpUZzFHRlk
